"credit_card_number","gender","occupation","transaction_hour","total_transactions","total_spent","average_transaction_value","fraud_transactions"
"30270432095985","F","Environmental consultant","20","172","6278.620000000001","36.503604651162796","0"
"180011453250192","M","Manufacturing engineer","20","108","10315.47","95.5136111111111","0"
"4312133045694601139","M","Company secretary","20","50","2033.6200000000003","40.67240000000001","0"
"4755696071492","M","Site engineer","20","146","11811.93","80.90363013698631","0"
"4855488158131690372","M","Agricultural consultant","20","103","10134.78","98.3959223300971","0"
"2235335206132667","F","Building control surveyor","20","18","586.46","32.58111111111111","0"
"6506116513503136","F","Sports development officer","20","123","10070.990000000002","81.87796747967481","0"
"3540210836308425","M","Fisheries officer","20","81","7189.4","88.75802469135802","0"
"573860193545","M","Trade mark attorney","20","120","6163.76","51.36466666666667","0"
"4998109455173950","F","Counsellor","20","126","7033.4","55.820634920634916","0"
"4681601008538160","F","Physiotherapist","20","149","10503.58","70.49382550335571","0"
"6011893664860915","F","Water engineer","20","161","10997.28","68.30608695652174","0"
"4861310130652566408","F","Surveyor, rural practice","20","143","8921.460000000001","62.38783216783217","0"
"4561546772499","M","Therapist, art","20","153","16567.980000000003","108.28745098039218","0"
"30103132002433","F","Dispensing optician","20","73","4507.049999999999","61.7404109589041","0"
"4727244663135968","F","Science writer","20","47","3104.2899999999995","66.04872340425531","0"
"571314334723","F","Sales professional, IT","20","33","2200.46","66.68060606060607","0"
"60490596305","F","Programmer, applications","20","40","1406.3400000000001","35.158500000000004","0"
"3556613125071656","M","Futures trader","20","174","4843.0","27.833333333333332","0"
"4629451965224809","F","Teacher, special educational needs","20","89","4082.54","45.87123595505618","0"
"630469040731","F","Barrister","20","81","3753.64","46.34123456790123","0"
"376028110684021","M","Tourist information centre manager","20","101","11264.34","111.52811881188119","0"
"372520049757633","F","Ceramics designer","20","223","17502.579999999998","78.48690582959641","0"
"4935858973307492","M","Film/video editor","20","73","6067.07","83.11054794520548","0"
"4642255475285942","F","Surveyor, minerals","20","168","9604.439999999999","57.16928571428571","0"
"6538891242532018","F","Engineer, control and instrumentation","20","180","12421.23","69.00683333333333","0"
"38530489946071","F","Animal technologist","20","108","4273.210000000001","39.56675925925927","0"
"372520049757633","F","Ceramics designer","21","192","13875.69","72.26921875000001","0"
"4464457352619","F","Television production assistant","21","134","5272.910000000001","39.35007462686568","1"
"6011652924285713","F","Tax inspector","21","186","9679.06","52.037956989247306","0"
"3576021480694169","F","Secondary school teacher","21","171","7333.7300000000005","42.88730994152047","2"
"30238755902988","F","Press sub","21","201","8193.050000000001","40.76144278606966","0"
"4767265376804500","F","Transport planner","21","22","1200.8799999999999","54.58545454545454","0"
"4497913965512794052","M","Hospital doctor","21","36","1926.44","53.51222222222222","0"
"3567697931646329","M","Travel agency manager","21","164","5792.99","35.32310975609756","0"
"4377338765909719","M","Geologist, wellsite","21","126","6212.56","49.30603174603175","0"
"4792627764422477317","F","Chief Executive Officer","21","181","14100.82","77.90508287292818","0"
"371009169330125","M","Rural practice surveyor","21","101","5029.33","49.79534653465346","0"
"3589255887819806","M","Press photographer","21","143","7474.550000000001","52.26958041958043","0"
